네	yes
있다	 to exist to have to stay
학교	 school
집	house, home
하다	to do
먹다	to eat
아니요	no
책	book
보다	to see, to look at
학생	student
사람	person, people
가다	to go
선생님	teacher
저	Ithat (over there)
안녕하다	to be well, be in good health
이름	name
한국	Korea
공부하다	to study
친구	friend
물	water
없다	to not existto not have
시간	time hours
어디	where
말하다	to speak
그	that (before nouns)
여자	woman, female
예쁘다	to be pretty, charming
돈	money
커피	coffee
만나다	to meet
책상	desk
한국어	Korean (language)
오다	to come
뭐	what
남자	man, male
좋다	to be good, be niceto like
오늘	today
차	teacar
마시다	to drink
아버지	father
누구	who
크다  to be big	
이	tooththis
카메라	camera
주다	to give
사랑	love
영어	English (language)
읽다	to read
밥	rice (cooked) meal
이거	this thing
감사하다	to be thankful, thank, appreciate
어머니	mother
주스	juice

듣다	to listen, to hear
가방	bag
같이	together
쓰다	to writeto use
일	work, matterday
미국	USA
나쁘다	to be bad
전화	telephone
볼펜	ballpoint pen

사다	to buy
영화	movie
노래	song
사랑하다	to love
진짜	really, veryreal thing
우유	milk
어렵다	to be difficult, hard
왜	why
머리	headhair
알다	to know
빨리	quickly
사과	appleapology
자다	to sleep
제	my

월요일	Monday
재미있다	to be fun, interesting

여기	here
동생	younger sibling
춥다	to be cold (regarding the weather)
일본	Japan
옷	clothes
노래하다	to sing
그럼	then, if sothat's right
연필	pencil
모르다	to not know
어제	yesterday
생각	thought, idea

살다	to live

대학교	college
방	a room
앉다	to sit, sit down
화요일	Tuesday
의자	chair
운동하다	to work out, to exercise
날	day, dateedge
아침	morning, breakfast
물어보다	to ask, question
서울	Seoul

요리	cooking, dish
놀다	to hang out, to play
맥주	beer
잘	well
길다	to be long
이쪽	this side, our side

수요일	Wednesday
비싸다	to be expensive
문	door
많이	a lot, many, plenty
맛있다	to be delicious, tasty
음악	music
지금	now
작다	to be small
말	words, languagehorse
사전	dictionary
죄송하다	to be sorry, feel guilty
좀	a littlekindlycertainly

가게	shop, store
입다	to wear
김밥	Korean dried seaweed rice rolls

언제	when
요리하다	to cook
질문	question
눈	eyesnow
아프다	to be sickto hurt, ache
청소	cleaning
내일	tomorrow
쉽다	to be easy
술	alcoholic drink
저기	over there
이야기하다	to talk
숙제	homework
어떻게	how
시작하다	to start, begin
년	year
그리고	and

아니다	to not be

목요일	Thursday
피자	pizza
찾다	to look forto findto withdraw (money)
끝	end

자동차	car
청소하다	to clean up, to vacuum
오빠	older brother (of a female)
다음	the next, the following
바쁘다	to be busy
회사	company, corporation
번	time (first, second...)
만들다	to make
바지	pants
저녁	eveningdinner

타다	to ride, get into burn, be tanned
버스	bus
개	dogthing (<i>count.</i>)

다니다	to go (frequently),to attend, work for
구두	dress shoes
치즈	cheese

일어나다	to wake up, get upto happen
중국	China
비	rainbroom
맞다	to be correctto be hit, struck
금요일	Friday
자주	often
쉬다	to rest, take a rest
형	a man's older brother<br />type, style<br />punishment
컴퓨터	computer
날씨	weather
끝나다	to end, be over
감자	potato

더	more
싸다	to be inexpensive, cheapto wrap up, pack
은행	bank
혼자	alone
기다리다	to wait
배	pearstomachboat
아이	child
그렇다	to be so (like that)
나라	country, nation

셔츠	shirt

일하다	to work
가족	family
안녕히	peacefullysafely
배우다	to learn
공책	notebook
쪽	side, directionpage

싫다	to be unlikable, to not like
독일	Germany
